Power Level,Prefix Name,Suffix Name,Attunement,Description
curse,Jealous,of Jealousy,FALSE,"While this item is equipped, you cannot equip other items of the same type (if this item is a sword you cannot equip other swords, etc.)."
curse,Broken Mirror,of the Broken Mirror,FALSE,"This surface of this item is polished to a reflective shine. While this item is equipped, your reflection does not appear on surfaces such as mirrors or water."
curse,Conductive,of Conduction,FALSE,"This item incorporates a dark metal into its construction. While this item is equipped, for each hour you spend outdoors in a thunderstorm there is a 10% chance that you will get struck by lightning."
curse,Demonic,of Demons,FALSE,"While this item is equipped, your eyes glow a sinister red."
curse,Tainted,of the Tainted,FALSE,"While this item is equipped, small beasts such as rabbits, squirrels, dogs, or cats are unnaturally frightened of you."
curse,Rancid,of Rancid Odors,FALSE,This item emits a foul odor that fills the space within 10 ft. of it.
curse,Screaming,of Screaming,FALSE,The image of a terrified face is carved or inscribed upon this item. Faint screaming can be heard emanating from this item.
curse,Restless,of the Restless,FALSE,"While this item is equipped, your shadow seems to be out of sync with your movements and you leave two sets of footprints wherever you walk."
curse,Elder,of the Elder,FALSE,"Ominous whispers in an unknown language can be heard emanating from this item. While this item is equipped, your sleep is plagued by nightmares."
curse,Wrathful,of Wrath,FALSE,"Whenever you use this item, a shock of pain courses through your body."
curse,Hungry,of Hunger,FALSE,"While this item is equipped, you require double the amount of food and water each day to prevent the effects of hunger or starvation."
curse,Nightmare,of Nightmares,FALSE,"Creatures that sleep within 5 ft. of this item do not have pleasant dreams, only nightmares."
curse,Carnal,of Carnage,FALSE,Blood continuously drips from this item.
curse,Unstable,of Instability,FALSE,"Each time this item is used roll a d20. On a roll of 1 this item explodes, dealing 2d6 fire damage to the creature using it."
curse,Possessed,of the Possessed,FALSE,"The air around this item is unnaturally cold. While this item is equipped, when you look into a mirror or reflective surface, you see a shadowy figure behind you in the reflection."
curse,Bald,of Balding,FALSE,"When you touch this item, all of your hair harmlessly falls off of your body."
curse,Ashen,of Ash,FALSE,"This item is a dull greyish color. While this item is equipped, all food and drink you consume tastes like ash."
curse,Scorned Chef's,of the Scorned Chef,FALSE,"While this item is equipped, all food you eat tastes bland and under seasoned."
curse,Unsettling,of Unsettling,FALSE,"While this item is equipped, you have the unshakeable sensation that someone is watching you."
curse,Paranoid,of Paranoia,FALSE,"While this item is equipped, you are convinced that everyone around you is out to get you."
curse,Sticky,of Stickiness,FALSE,"When you touch this item, you cannot remove your hand from it unless you succeed on a DC 12 Strength check."
curse,Blinding,of Blinding,FALSE,"When you touch this item, make a DC 12 Constitution saving throw. On a failure, you are blinded for 1d10 minutes."
curse,Paralyzing,of Paralysis,FALSE,"When you touch this item, make a DC 12 Constitution saving throw. On a failure, you are paralyzed for 1d4 minutes."
curse,Lie Detecting,of Lie Detection,FALSE,"While this item is equipped, it glows a faint reddish color when you tell a lie."
curse,Sluggish,of Sluggishness,FALSE,"While this item is equipped, your feet drag and your movements feel lethargic. Your walking speed is reduced by 5 ft."
curse,Clumsy,of Clumsiness,FALSE,"While this item is equipped, you have disadvantage on Dexterity(Acrobatics) checks."
curse,Cruel,of Animal Cruelty,FALSE,"This item is made from the pelts or bones of animals. While this item is equipped, you have disadvantage on Wisdom(Animal Handling) checks."
curse,Failed Wizard's,of the Failed Wizard,FALSE,"While this item is equipped, you have disadvantage on Intelligence(Arcana) checks."
curse,Lethargic,of Lethargy,FALSE,"While this item is equipped, you have disadvantage on Strength(Athletics) checks."
curse,Bad Liar's,of the Bad Liar,FALSE,"While this item is equipped, you have disadvantage on Charisma(Deception) checks."
curse,Forgetful,of Forgetfulness,FALSE,"While this item is equipped, you have disadvantage on Intelligence(History) checks."
curse,Oblivious,of Obliviousness,FALSE,"While this item is equipped, you have disadvantage on Wisdom(Insight) checks."
curse,Cute Little,of the Cutie-Pie,FALSE,"While this item is equipped, you have disadvantage on Charisma(Intimidation) checks."
curse,Failed Detective's,of the Failed Detective,FALSE,"While this item is equipped, you have disadvantage on Intelligence(Investigation) checks."
curse,Failed Surgeon's,of the Failed Surgeon,FALSE,"This item is stained with long dried blood. While this item is equipped, you have disadvantage on Wisdom(Medicine) checks."
curse,Failed Druid's,of the Failed Druid,FALSE,"This item has a charred handprint on it. While this item is equipped, you have disadvantage on Intelligence(Nature) checks."
curse,Unaware,of the Unaware,FALSE,"While this item is equipped, you have disadvantage on Wisdom(Perception) checks."
curse,Failed Actor's,of the Failed Actor,FALSE,"While this item is equipped, you have disadvantage on Charisma(Performance) checks."
curse,Tongue-Tied,of the Tongue-Tied,FALSE,"While this item is equipped, you have disadvantage on Charisma(Persuasion) checks."
curse,Heretic,of the Heretic,FALSE,"This item has a defaced religious symbol carved or inscribed upon it. While this item is equipped, you have disadvantage on Intelligence(Religion) checks."
curse,Fumbling,of Fumbling,FALSE,"While this item is equipped, you have disadvantage on Dexterity(Sleight of Hand) checks."
